vendor_name,default_account,description
"Mcgraw Hill Companies",572,"Books, Dues, and Subscriptions"
"McKesson Water Products",570,"Office Supplies"
"Micro Center",160,"Computer Equipment"
"Nat Assoc of College Stores",572,"Books, Dues, and Subscriptions"
"National Information Data Ctr",540,"Direct Mail Advertising"
"Naylor Publications Inc",572,"Books, Dues, and Subscriptions"
"Net Asset, Llc",572,"Books, Dues, and Subscriptions"
"Newbrige Book Clubs",394,"Book Club Royalties"
Nielson,541,"Space Advertising"
"Office Depot",570,"Office Supplies"
"Opamp Technical Books",572,"Books, Dues, and Subscriptions"
"Open Horizons Publishing",540,"Direct Mail Advertising"
"Pacific Bell",522,Telephone
"Pacific Gas & Electric",521,Utilities
"Ph Photographic Services",540,"Direct Mail Advertising"
Pollstar,520,"Building Lease"
Postmaster,552,Postage
"Publishers Marketing Assoc",572,"Books, Dues, and Subscriptions"
"Publishers Weekly",572,"Books, Dues, and Subscriptions"
"Quality Education Data",540,"Direct Mail Advertising"
"Register of Copyrights",403,"Book Production Costs"
"Reiter's Scientific & Pro Books",572,"Books, Dues, and Subscriptions"
"Retirement Plan Consultants",589,"Outside Services"
"Rich Advertising",540,"Direct Mail Advertising"
"Roadway Package System, Inc",553,Freight
"Robbins Mobile Lock And Key",523,"Building Maintenance"
"RR Bowker",532,"Equipment Rental"
"Shields Design",403,"Book Production Costs"
"Simon Direct Inc",540,"Direct Mail Advertising"
"Small Press",540,"Direct Mail Advertising"
"Springhouse Corp",523,"Building Maintenance"
"State Board Of Equalization",631,"State Corporation Income Taxes"
"State of California",631,"State Corporation Income Taxes"
"Suburban Propane",521,Utilities
Texaco,582,"Travel and Accomodations"
"The Drawing Board",551,"Business Forms"
"The Fresno Bee",572,"Books, Dues, and Subscriptions"
"The Library Ltd",540,"Direct Mail Advertising"
"The Mailers Guide Co",540,"Direct Mail Advertising"
"The Presort Center",540,"Direct Mail Advertising"
"The Windows Deck",536,"Card Deck Advertising"
"Towne Advertiser's Mailing Svcs",540,"Direct Mail Advertising"
"United Parcel Service",553,Freight
Unocal,582,"Travel and Accomodations"
"US Postal Service",552,Postage
Valprint,551,"Business Forms"
"Venture Communications Int'l",540,"Direct Mail Advertising"
"Vision Envelope & Printing",551,"Business Forms"
"Wakefield Co",170,"Other Equipment"
"Wang Laboratories, Inc.",160,"Computer Equipment"
"Wells Fargo Bank",160,"Computer Equipment"
"Yale Industrial Trucks-Fresno",532,"Equipment Rental"
"Yesmed, Inc",589,"Outside Services"
"Zee Medical Service Co",570,"Office Supplies"
"Zip Print & Copy Center",540,"Direct Mail Advertising"
"Zylka Design",403,"Book Production Costs"
