invoice_id,vendor_id,invoice_number,invoice_date,invoice_total,payment_total,credit_total,terms_id,invoice_due_date,payment_date,vendor_id,vendor_name,vendor_address1,vendor_address2,vendor_city,vendor_state,vendor_zip_code,vendor_phone,vendor_contact_last_name,vendor_contact_first_name,default_terms_id,default_account_number
28,123,963253263,2018-05-16,109.50,109.50,0.00,3,2018-06-15,2018-06-10,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
29,108,121897,2018-05-19,450.00,450.00,0.00,4,2018-06-28,2018-07-03,108,"Gostanian General Building","427 W Bedford #102",NULL,Fresno,CA,93711,"(559) 555-5100",Bragg,Walter,4,523
30,123,1-200-5164,2018-05-20,63.40,63.40,0.00,3,2018-06-19,2018-06-24,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
31,104,P02-3772,2018-05-21,7125.34,7125.34,0.00,3,2018-06-20,2018-06-24,104,"Digital Dreamworks","5070 N Sixth Ste. 71",NULL,Fresno,CA,93711,NULL,Elmert,Ron,3,589
32,121,97/486,2018-05-21,953.10,953.10,0.00,3,2018-06-20,2018-06-22,121,"Zylka Design","3467 W Shaw Ave #103",NULL,Fresno,CA,93711,"(559) 555-8625",Ronaldsen,Jaime,3,403
33,105,94007005,2018-05-23,220.00,220.00,0.00,3,2018-06-22,2018-06-26,105,"Dristas Groom & McCormick","7112 N Fresno St Ste 200",NULL,Fresno,CA,93720,"(559) 555-8484",Aaronsen,Thom,3,591
34,123,963253232,2018-05-23,127.75,127.75,0.00,3,2018-06-22,2018-06-18,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
35,107,RTR-72-3662-X,2018-05-25,1600.00,1600.00,0.00,4,2018-07-04,2018-07-09,107,"Franchise Tax Board","PO Box 942857",NULL,Sacramento,CA,94257,NULL,Prado,Anita,4,507
36,121,97/465,2018-05-25,565.15,565.15,0.00,3,2018-06-24,2018-06-24,121,"Zylka Design","3467 W Shaw Ave #103",NULL,Fresno,CA,93711,"(559) 555-8625",Ronaldsen,Jaime,3,403
37,123,963253260,2018-05-25,36.00,36.00,0.00,3,2018-06-24,2018-06-26,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
38,123,963253272,2018-05-26,61.50,61.50,0.00,3,2018-06-25,2018-06-30,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
39,110,0-2058,2018-05-28,37966.19,37966.19,0.00,3,2018-06-27,2018-06-30,110,"Malloy Lithographing Inc","5411 Jackson Road","PO Box 1124","Ann Arbor",MI,48106,"(313) 555-6113",Regging,Abe,3,400
40,121,97/503,2018-05-30,639.77,639.77,0.00,3,2018-06-29,2018-06-25,121,"Zylka Design","3467 W Shaw Ave #103",NULL,Fresno,CA,93711,"(559) 555-8625",Ronaldsen,Jaime,3,403
41,123,963253255,2018-05-31,53.75,53.75,0.00,3,2018-06-30,2018-06-27,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
42,123,94007069,2018-05-31,400.00,400.00,0.00,3,2018-06-30,2018-07-01,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
43,72,40318,2018-06-01,21842.00,21842.00,0.00,3,2018-07-01,2018-06-29,72,"Data Reproductions Corp","4545 Glenmeade Lane",NULL,"Auburn Hills",MI,48326,"(810) 555-3700",Arodondo,Cesar,3,400
44,95,111-92R-10094,2018-06-01,19.67,19.67,0.00,2,2018-06-21,2018-06-24,95,"Pacific Bell",NULL,NULL,Sacramento,CA,95887,"(209) 555-7500",Nickalus,Kurt,2,522
45,122,989319-437,2018-06-01,2765.36,2765.36,0.00,3,2018-07-01,2018-06-28,122,"United Parcel Service","P.O. Box 505820",NULL,Reno,NV,88905,"(800) 555-0855",Beauregard,Violet,3,553
46,37,547481328,2018-06-03,224.00,224.00,0.00,3,2018-07-03,2018-07-04,37,"Blue Cross","PO Box 9061",NULL,Oxnard,CA,93031,"(800) 555-0912",Eliana,Nikolas,3,510
47,83,31359783,2018-06-03,1575.00,1575.00,0.00,2,2018-06-23,2018-06-21,83,Ingram,"PO Box 845361",NULL,Dallas,TX,75284,NULL,Yobani,Trey,2,541
48,123,1-202-2978,2018-06-03,33.00,33.00,0.00,3,2018-07-03,2018-07-05,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
49,95,111-92R-10097,2018-06-04,16.33,16.33,0.00,2,2018-06-24,2018-06-26,95,"Pacific Bell",NULL,NULL,Sacramento,CA,95887,"(209) 555-7500",Nickalus,Kurt,2,522
50,37,547479217,2018-06-07,116.00,116.00,0.00,3,2018-07-07,2018-07-07,37,"Blue Cross","PO Box 9061",NULL,Oxnard,CA,93031,"(800) 555-0912",Eliana,Nikolas,3,510
51,122,989319-477,2018-06-08,2184.11,2184.11,0.00,3,2018-07-08,2018-07-08,122,"United Parcel Service","P.O. Box 505820",NULL,Reno,NV,88905,"(800) 555-0855",Beauregard,Violet,3,553
52,34,Q545443,2018-06-09,1083.58,1083.58,0.00,1,2018-06-19,2018-06-23,34,IBM,"PO Box 61000",NULL,"San Francisco",CA,94161,"(800) 555-4426",Camron,Trentin,1,160
53,95,111-92R-10092,2018-06-09,46.21,46.21,0.00,2,2018-06-29,2018-07-02,95,"Pacific Bell",NULL,NULL,Sacramento,CA,95887,"(209) 555-7500",Nickalus,Kurt,2,522
54,121,97/553B,2018-06-10,313.55,313.55,0.00,3,2018-07-10,2018-07-09,121,"Zylka Design","3467 W Shaw Ave #103",NULL,Fresno,CA,93711,"(559) 555-8625",Ronaldsen,Jaime,3,403
55,123,963253245,2018-06-10,40.75,40.75,0.00,3,2018-07-10,2018-07-12,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
56,86,367447,2018-06-11,2433.00,2433.00,0.00,1,2018-06-21,2018-06-17,86,Computerworld,"Department #1872","PO Box 61000","San Francisco",CA,94161,"(617) 555-0700",Lloyd,Angel,1,572
57,103,75C-90227,2018-06-11,1367.50,1367.50,0.00,5,2018-07-31,2018-07-31,103,"Dean Witter Reynolds","9 River Pk Pl E 400",NULL,Boston,MA,02134,"(508) 555-8737",Johnson,Vance,5,589
58,123,963253256,2018-06-11,53.25,53.25,0.00,3,2018-07-11,2018-07-07,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
59,123,4-314-3057,2018-06-11,13.75,13.75,0.00,3,2018-07-11,2018-07-15,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
60,122,989319-497,2018-06-12,2312.20,2312.20,0.00,3,2018-07-12,2018-07-09,122,"United Parcel Service","P.O. Box 505820",NULL,Reno,NV,88905,"(800) 555-0855",Beauregard,Violet,3,553
61,115,24946731,2018-06-15,25.67,25.67,0.00,4,2018-07-25,2018-07-26,115,"Roadway Package System, Inc","Dept La 21095",NULL,Pasadena,CA,91185,NULL,Smith,Sam,4,553
62,123,963253269,2018-06-15,26.75,26.75,0.00,3,2018-07-15,2018-07-11,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
63,122,989319-427,2018-06-16,2115.81,2115.81,0.00,3,2018-07-16,2018-07-19,122,"United Parcel Service","P.O. Box 505820",NULL,Reno,NV,88905,"(800) 555-0855",Beauregard,Violet,3,553
64,123,963253267,2018-06-17,23.50,23.50,0.00,3,2018-07-17,2018-07-19,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
65,99,509786,2018-06-18,6940.25,6940.25,0.00,3,2018-07-18,2018-07-15,99,"Bertelsmann Industry Svcs. Inc","28210 N Avenue Stanford",NULL,Valencia,CA,91355,"(805) 555-0584",Potter,Lance,3,400
66,123,263253253,2018-06-18,31.95,31.95,0.00,3,2018-07-18,2018-07-21,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
67,122,989319-487,2018-06-20,1927.54,1927.54,0.00,3,2018-07-20,2018-07-18,122,"United Parcel Service","P.O. Box 505820",NULL,Reno,NV,88905,"(800) 555-0855",Beauregard,Violet,3,553
68,81,MABO1489,2018-06-21,936.93,936.93,0.00,2,2018-07-11,2018-07-10,81,"Wang Laboratories, Inc.","P.O. Box 21209",NULL,Pasadena,CA,91185,"(800) 555-0344",Kapil,Robert,2,160
69,80,133560,2018-06-22,175.00,175.00,0.00,2,2018-07-12,2018-07-16,80,"Cardinal Business Media, Inc.","P O Box 7247-7844",NULL,Philadelphia,PA,19170,"(215) 555-1500",Eulalia,Kelsey,2,540
70,115,24780512,2018-06-22,6.00,6.00,0.00,4,2018-08-01,2018-07-29,115,"Roadway Package System, Inc","Dept La 21095",NULL,Pasadena,CA,91185,NULL,Smith,Sam,4,553
71,123,963253254,2018-06-22,108.50,108.50,0.00,3,2018-07-22,2018-07-20,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
72,123,43966316,2018-06-22,10.00,10.00,0.00,3,2018-07-22,2018-07-17,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
73,114,CBM9920-M-T77109,2018-06-23,290.00,290.00,0.00,1,2018-07-03,2018-06-29,114,Postmaster,"Postage Due Technician","1900 E Street",Fresno,CA,93706,"(559) 555-7785",Finklestein,Fyodor,1,552
74,102,109596,2018-06-24,41.80,41.80,0.00,4,2018-08-03,2018-08-04,102,"Coffee Break Service","PO Box 1091",NULL,Fresno,CA,93714,"(559) 555-8700",Smitzen,Jeffrey,4,570
75,123,7548906-20,2018-06-24,27.00,27.00,0.00,3,2018-07-24,2018-07-24,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
76,123,963253248,2018-06-24,241.00,241.00,0.00,3,2018-07-24,2018-07-25,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
77,121,97/553,2018-06-25,904.14,904.14,0.00,3,2018-07-25,2018-07-25,121,"Zylka Design","3467 W Shaw Ave #103",NULL,Fresno,CA,93711,"(559) 555-8625",Ronaldsen,Jaime,3,403
78,121,97/522,2018-06-28,1962.13,1762.13,200.00,3,2018-07-28,2018-07-30,121,"Zylka Design","3467 W Shaw Ave #103",NULL,Fresno,CA,93711,"(559) 555-8625",Ronaldsen,Jaime,3,403
79,100,587056,2018-06-30,2184.50,2184.50,0.00,4,2018-08-09,2018-08-07,100,"Cahners Publishing Company","Citibank Lock Box 4026","8725 W Sahara Zone 1127","The Lake",NV,89163,"(301) 555-2162",Jacobsen,Samuel,4,540
80,122,989319-467,2018-07-01,2318.03,2318.03,0.00,3,2018-07-31,2018-07-29,122,"United Parcel Service","P.O. Box 505820",NULL,Reno,NV,88905,"(800) 555-0855",Beauregard,Violet,3,553
81,123,263253265,2018-07-02,26.25,26.25,0.00,3,2018-08-01,2018-07-28,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
82,94,203339-13,2018-07-05,17.50,17.50,0.00,2,2018-07-25,2018-07-27,94,"Abbey Office Furnishings","4150 W Shaw Ave",NULL,Fresno,CA,93722,"(559) 555-8300",Francis,Kyra,2,150
83,95,111-92R-10093,2018-07-06,39.77,39.77,0.00,2,2018-07-26,2018-07-22,95,"Pacific Bell",NULL,NULL,Sacramento,CA,95887,"(209) 555-7500",Nickalus,Kurt,2,522
84,123,963253258,2018-07-06,111.00,111.00,0.00,3,2018-08-05,2018-08-05,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
85,123,963253271,2018-07-07,158.00,158.00,0.00,3,2018-08-06,2018-08-11,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
86,123,963253230,2018-07-07,739.20,739.20,0.00,3,2018-08-06,2018-08-06,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
87,123,963253244,2018-07-08,60.00,60.00,0.00,3,2018-08-07,2018-08-09,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
88,123,963253239,2018-07-08,147.25,147.25,0.00,3,2018-08-07,2018-08-11,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
89,72,39104,2018-07-10,85.31,0.00,0.00,3,2018-08-09,NULL,72,"Data Reproductions Corp","4545 Glenmeade Lane",NULL,"Auburn Hills",MI,48326,"(810) 555-3700",Arodondo,Cesar,3,400
90,123,963253252,2018-07-12,38.75,38.75,0.00,3,2018-08-11,2018-08-11,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
91,95,111-92R-10095,2018-07-15,32.70,32.70,0.00,2,2018-08-04,2018-08-06,95,"Pacific Bell",NULL,NULL,Sacramento,CA,95887,"(209) 555-7500",Nickalus,Kurt,2,522
92,117,111897,2018-07-15,16.62,16.62,0.00,3,2018-08-14,2018-08-14,117,"Suburban Propane","2874 S Cherry Ave",NULL,Fresno,CA,93706,"(559) 555-2770",Spivak,Harold,3,521
93,123,4-327-7357,2018-07-16,162.75,162.75,0.00,3,2018-08-15,2018-08-11,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
94,123,963253264,2018-07-18,52.25,0.00,0.00,3,2018-08-17,NULL,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
95,82,C73-24,2018-07-19,600.00,600.00,0.00,2,2018-08-08,2018-08-13,82,"Reiter's Scientific & Pro Books","2021 K Street Nw",NULL,Washington,DC,20006,"(202) 555-5561",Rodolfo,Carlee,2,572
96,110,P-0259,2018-07-19,26881.40,26881.40,0.00,3,2018-08-18,2018-08-20,110,"Malloy Lithographing Inc","5411 Jackson Road","PO Box 1124","Ann Arbor",MI,48106,"(313) 555-6113",Regging,Abe,3,400
97,90,97-1024A,2018-07-20,356.48,356.48,0.00,2,2018-08-09,2018-08-07,90,"Wakefield Co","295 W Cromwell Ave Ste 106",NULL,Fresno,CA,93711,"(559) 555-4744",Rothman,Nathanael,2,170
98,83,31361833,2018-07-21,579.42,0.00,0.00,2,2018-08-10,NULL,83,Ingram,"PO Box 845361",NULL,Dallas,TX,75284,NULL,Yobani,Trey,2,541
99,123,263253268,2018-07-21,59.97,0.00,0.00,3,2018-08-20,NULL,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
100,123,263253270,2018-07-22,67.92,0.00,0.00,3,2018-08-21,NULL,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
101,123,263253273,2018-07-22,30.75,0.00,0.00,3,2018-08-21,NULL,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
102,110,P-0608,2018-07-23,20551.18,0.00,1200.00,3,2018-08-22,NULL,110,"Malloy Lithographing Inc","5411 Jackson Road","PO Box 1124","Ann Arbor",MI,48106,"(313) 555-6113",Regging,Abe,3,400
103,122,989319-417,2018-07-23,2051.59,2051.59,0.00,3,2018-08-22,2018-08-24,122,"United Parcel Service","P.O. Box 505820",NULL,Reno,NV,88905,"(800) 555-0855",Beauregard,Violet,3,553
104,123,263253243,2018-07-23,44.44,44.44,0.00,3,2018-08-22,2018-08-24,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
105,106,9982771,2018-07-24,503.20,0.00,0.00,3,2018-08-23,NULL,106,"Ford Motor Credit Company","Dept 0419",NULL,"Los Angeles",CA,90084,"(800) 555-7000",Snyder,Karen,3,582
106,110,0-2060,2018-07-24,23517.58,21221.63,2295.95,3,2018-08-23,2018-08-27,110,"Malloy Lithographing Inc","5411 Jackson Road","PO Box 1124","Ann Arbor",MI,48106,"(313) 555-6113",Regging,Abe,3,400
107,122,989319-447,2018-07-24,3689.99,3689.99,0.00,3,2018-08-23,2018-08-19,122,"United Parcel Service","P.O. Box 505820",NULL,Reno,NV,88905,"(800) 555-0855",Beauregard,Violet,3,553
108,123,963253240,2018-07-24,67.00,67.00,0.00,3,2018-08-23,2018-08-23,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
109,121,97/222,2018-07-25,1000.46,1000.46,0.00,3,2018-08-24,2018-08-22,121,"Zylka Design","3467 W Shaw Ave #103",NULL,Fresno,CA,93711,"(559) 555-8625",Ronaldsen,Jaime,3,403
110,80,134116,2018-07-28,90.36,0.00,0.00,2,2018-08-17,NULL,80,"Cardinal Business Media, Inc.","P O Box 7247-7844",NULL,Philadelphia,PA,19170,"(215) 555-1500",Eulalia,Kelsey,2,540
111,123,263253257,2018-07-30,22.57,22.57,0.00,3,2018-08-29,2018-09-03,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
112,110,0-2436,2018-07-31,10976.06,0.00,0.00,3,2018-08-30,NULL,110,"Malloy Lithographing Inc","5411 Jackson Road","PO Box 1124","Ann Arbor",MI,48106,"(313) 555-6113",Regging,Abe,3,400
113,37,547480102,2018-08-01,224.00,0.00,0.00,3,2018-08-31,NULL,37,"Blue Cross","PO Box 9061",NULL,Oxnard,CA,93031,"(800) 555-0912",Eliana,Nikolas,3,510
114,123,963253249,2018-08-02,127.75,127.75,0.00,3,2018-09-01,2018-09-04,123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553
