invoice_id;vendor_id;invoice_number;invoice_date;invoice_total;payment_total;credit_total;terms_id;invoice_due_date;payment_date;invoice_id;invoice_sequence;account_number;line_item_amount;line_item_description
54;121;97/553B;2018-06-10;313.55;313.55;0.00;3;2018-07-10;2018-07-09;54;1;403;313.55;"Card revision"
53;95;111-92R-10092;2018-06-09;46.21;46.21;0.00;2;2018-06-29;2018-07-02;53;1;522;46.21;"Telephone (Line 1)"
52;34;Q545443;2018-06-09;1083.58;1083.58;0.00;1;2018-06-19;2018-06-23;52;1;160;1083.58;MSDN
51;122;989319-477;2018-06-08;2184.11;2184.11;0.00;3;2018-07-08;2018-07-08;51;1;553;2184.11;Freight
50;37;547479217;2018-06-07;116.00;116.00;0.00;3;2018-07-07;2018-07-07;50;1;510;116.00;"Health Insurance"
49;95;111-92R-10097;2018-06-04;16.33;16.33;0.00;2;2018-06-24;2018-06-26;49;1;522;16.33;"Telephone (line 6)"
48;123;1-202-2978;2018-06-03;33.00;33.00;0.00;3;2018-07-03;2018-07-05;48;1;553;33.00;Freight
47;83;31359783;2018-06-03;1575.00;1575.00;0.00;2;2018-06-23;2018-06-21;47;1;572;1575.00;"Catalog ad"
46;37;547481328;2018-06-03;224.00;224.00;0.00;3;2018-07-03;2018-07-04;46;1;510;224.00;"Health Insurance"
45;122;989319-437;2018-06-01;2765.36;2765.36;0.00;3;2018-07-01;2018-06-28;45;1;553;2765.36;Freight
44;95;111-92R-10094;2018-06-01;19.67;19.67;0.00;2;2018-06-21;2018-06-24;44;1;522;19.67;"Telephone (Line 3)"
43;72;40318;2018-06-01;21842.00;21842.00;0.00;3;2018-07-01;2018-06-29;43;1;400;21842.00;"Book repro"
42;123;94007069;2018-05-31;400.00;400.00;0.00;3;2018-06-30;2018-07-01;42;1;553;400.00;Freight
41;123;963253255;2018-05-31;53.75;53.75;0.00;3;2018-06-30;2018-06-27;41;1;553;53.75;Freight
40;121;97/503;2018-05-30;639.77;639.77;0.00;3;2018-06-29;2018-06-25;40;1;403;639.77;"Card deck"
39;110;0-2058;2018-05-28;37966.19;37966.19;0.00;3;2018-06-27;2018-06-30;39;1;400;37966.19;"CICS Desk Reference"
38;123;963253272;2018-05-26;61.50;61.50;0.00;3;2018-06-25;2018-06-30;38;1;553;61.50;Freight
37;123;963253260;2018-05-25;36.00;36.00;0.00;3;2018-06-24;2018-06-26;37;1;553;36.00;Freight
36;121;97/465;2018-05-25;565.15;565.15;0.00;3;2018-06-24;2018-06-24;36;1;403;565.15;"Crash Course Ad"
35;107;RTR-72-3662-X;2018-05-25;1600.00;1600.00;0.00;4;2018-07-04;2018-07-09;35;1;507;1600.00;"Income Tax"
34;123;963253232;2018-05-23;127.75;127.75;0.00;3;2018-06-22;2018-06-18;34;1;553;127.75;Freight
33;105;94007005;2018-05-23;220.00;220.00;0.00;3;2018-06-22;2018-06-26;33;1;591;220.00;"Form 571-L"
32;121;97/486;2018-05-21;953.10;953.10;0.00;3;2018-06-20;2018-06-22;32;1;403;953.10;"Crash Course revision"
31;104;P02-3772;2018-05-21;7125.34;7125.34;0.00;3;2018-06-20;2018-06-24;31;1;589;7125.34;"Web site design"
30;123;1-200-5164;2018-05-20;63.40;63.40;0.00;3;2018-06-19;2018-06-24;30;1;553;63.40;Freight
29;108;121897;2018-05-19;450.00;450.00;0.00;4;2018-06-28;2018-07-03;29;1;523;450.00;"Back office additions"
28;123;963253263;2018-05-16;109.50;109.50;0.00;3;2018-06-15;2018-06-10;28;1;553;109.50;Freight
27;88;972110;2018-05-15;207.78;207.78;0.00;1;2018-05-25;2018-05-27;27;1;540;207.78;"Prospect list"
26;123;4-342-8069;2018-05-14;10.00;10.00;0.00;3;2018-06-13;2018-06-13;26;1;553;10.00;Freight
25;123;963253246;2018-05-13;129.00;129.00;0.00;3;2018-06-12;2018-06-09;25;1;553;129.00;Freight
24;113;77290;2018-05-13;1750.00;1750.00;0.00;5;2018-07-02;2018-07-05;24;1;520;1750.00;"Warehouse lease"
23;97;21-4923721;2018-05-13;9.95;9.95;0.00;2;2018-06-02;2018-05-28;23;1;572;9.95;"Monthly access fee"
22;123;963253235;2018-05-11;108.25;108.25;0.00;3;2018-06-10;2018-06-09;22;1;553;108.25;Freight
21;119;10843;2018-05-11;4901.26;4901.26;0.00;2;2018-05-31;2018-05-29;21;1;589;4901.26;"Office lease"
20;115;24863706;2018-05-10;6.00;6.00;0.00;4;2018-06-19;2018-06-15;20;1;553;6.00;"Freight out"
19;34;QP58872;2018-05-07;116.54;116.54;0.00;1;2018-05-17;2018-05-19;19;1;160;116.54;"MVS Online Library"
18;123;963253242;2018-05-06;104.00;104.00;0.00;3;2018-06-05;2018-06-05;18;1;553;104.00;Freight
17;123;4-321-2596;2018-05-05;10.00;10.00;0.00;3;2018-06-04;2018-06-05;17;1;553;10.00;"Address correction"
16;97;21-4748363;2018-05-03;9.95;9.95;0.00;2;2018-05-23;2018-05-22;16;1;572;9.95;"Monthly access fee"
15;48;P02-88D77S7;2018-05-03;856.92;856.92;0.00;3;2018-06-02;2018-05-30;15;1;574;856.92;"Property Taxes"
14;115;25022117;2018-05-01;6.00;6.00;0.00;4;2018-06-10;2018-06-10;14;1;553;6.00;"Freight out"
13;95;111-92R-10096;2018-04-30;16.33;16.33;0.00;2;2018-05-20;2018-05-23;13;1;522;16.33;"Telephone (line 5)"
12;96;I77271-O01;2018-04-26;662.00;662.00;0.00;2;2018-05-16;2018-05-13;12;1;580;50.00;DiCicco's
12;96;I77271-O01;2018-04-26;662.00;662.00;0.00;2;2018-05-16;2018-05-13;12;2;570;75.60;Kinko's
12;96;I77271-O01;2018-04-26;662.00;662.00;0.00;2;2018-05-16;2018-05-13;12;3;570;58.40;"Office Max"
12;96;I77271-O01;2018-04-26;662.00;662.00;0.00;2;2018-05-16;2018-05-13;12;4;540;478.00;"Publishers Marketing"
11;123;963253262;2018-04-25;42.50;42.50;0.00;3;2018-05-25;2018-05-20;11;1;553;42.50;Freight
10;123;263253250;2018-04-24;42.67;42.67;0.00;3;2018-05-24;2018-05-22;10;1;553;42.67;Freight
9;121;97/488;2018-04-24;601.95;601.95;0.00;3;2018-05-24;2018-05-21;9;1;403;601.95;"Cover design"
8;89;125520-1;2018-04-24;95.00;95.00;0.00;1;2018-05-04;2018-05-01;8;1;522;95.00;"Telephone service"
7;123;963253237;2018-04-21;172.50;172.50;0.00;3;2018-05-21;2018-05-22;7;1;553;172.50;Freight
6;123;963253261;2018-04-16;42.75;42.75;0.00;3;2018-05-16;2018-05-21;6;1;553;42.75;Freight
5;123;963253251;2018-04-16;15.50;15.50;0.00;3;2018-05-16;2018-05-11;5;1;553;15.50;Freight
4;123;2-000-2993;2018-04-16;144.70;144.70;0.00;3;2018-05-16;2018-05-12;4;1;553;144.70;"Int'l shipment"
3;123;963253234;2018-04-13;138.75;138.75;0.00;3;2018-05-13;2018-05-09;3;1;553;138.75;Freight
2;123;263253241;2018-04-10;40.20;40.20;0.00;3;2018-05-10;2018-05-14;2;1;553;40.20;Freight
1;122;989319-457;2018-04-08;3813.33;3813.33;0.00;3;2018-05-08;2018-05-07;1;1;553;3813.33;Freight
